User;Name;Date;changes,w_id,event_timestamp
Tensai;André_Joseph_Abrial;14/02/2006 07:04;53,b53306c9-59c9-4b7e-9a7a-8976e05924ac,2022-05-19 16:39:30.374194
Tensai;André_Joseph_Abrial;14/02/2006 07:04;2,1e3e3a94-4fa7-4ce6-b4af-3c446a8eba00,2022-05-19 16:39:30.374202
Piku;Citoyen_actif;14/02/2006 09:39;5,fed0a50f-14e7-488e-bff8-5da3a069f0ca,2022-05-19 16:39:30.374210
Phe;Alexandre_François_Marie_de_Beauharnais;14/02/2006 11:45;2,8652e953-ddde-41f8-b44a-13c26e82f891,2022-05-19 16:39:30.374218
PieRRoMaN;Citoyen_actif;20/02/2006 09:48;172,45360602-b236-4c57-bbf2-5cb2912c5fbf,2022-05-19 16:39:30.374227
194.158.98.36;Conseil_exécutif_(Révolution_française);22/02/2006 10:35;758,3e32d612-8fde-4213-b7dd-47264c06d9ac,2022-05-19 16:39:30.374235
194.158.98.36;Conseil_exécutif_(Révolution_française);22/02/2006 10:36;1,49fb096c-dd16-493c-bb31-cb6c6e835ba0,2022-05-19 16:39:30.374244
Richelieu;Bon_Albert_Briois_de_Beaumetz;24/02/2006 02:05;1920,8d53c72b-af8d-4896-802d-8f432b3bfc15,2022-05-19 16:39:30.374252
Bruno Danielzik;Alexandre_François_Marie_de_Beauharnais;25/02/2006 01:05;2,9304bb3e-a77a-4033-93e6-e4c55ad24058,2022-05-19 16:39:30.374261
Pautard;Club_de_1789;25/02/2006 08:17;455,194cb201-d379-4a83-b84b-204eadeed380,2022-05-19 16:39:30.374269
Pautard;Club_de_1789;25/02/2006 08:19;27,b8442b3d-99cb-4dca-aa88-3ac89977821f,2022-05-19 16:39:30.374287
Pautard;Club_de_1789;25/02/2006 08:21;27,7756b0be-18fe-4dfe-b4e3-834a2072ce1c,2022-05-19 16:39:30.374295
Pautard;Club_de_1789;25/02/2006 08:22;47,3528ed77-dbaf-44b0-a3e9-dd165ca64b01,2022-05-19 16:39:30.374303
Pautard;Club_de_1789;25/02/2006 08:24;17,f8d8534b-9247-4a6d-844f-bee67edd237b,2022-05-19 16:39:30.374311
Pautard;Club_de_1789;25/02/2006 08:26;20,922dc16c-c829-4f64-8db5-5f054ed27f1d,2022-05-19 16:39:30.374329
Pautard;Club_de_1789;25/02/2006 08:28;30,da7bbc9c-c702-4d38-8994-229bfdef981e,2022-05-19 16:39:30.374337
Pautard;Club_de_1789;25/02/2006 08:30;25,d5679c8b-c418-4f5e-a0ed-237bbeafe685,2022-05-19 16:39:30.374344
Pautard;Club_de_1789;25/02/2006 08:32;23,d10a49e3-5e0b-4b57-8821-a0cb3dfdeca4,2022-05-19 16:39:30.374352
Pautard;Club_de_1789;25/02/2006 08:33;39,b4ef4eac-9ec4-4c10-bc08-6142e8f67799,2022-05-19 16:39:30.374360
Pautard;Club_de_1789;25/02/2006 08:39;23,62531d89-2521-4112-9be6-b02769f0ee61,2022-05-19 16:39:30.374373
Pautard;Club_de_1789;26/02/2006 09:19;24,b0f5bea8-71e2-4e0e-87a8-1eec70fc74f3,2022-05-19 16:39:30.374380
Briling;Club_de_1789;11/03/2006 09:30;1234,273d5533-7d08-4e90-945d-67dc0dfefa12,2022-05-19 16:39:30.374388
